Seria,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,32.3,133.01,79.46,569.74,135.88,178.62,16.5
2,57.05,154.24,\textbf{87.6},624.94,172.58,233.86,\textbf{15.96}
3,24.53,\textbf{183.63},92.78,565.19,\textbf{183.07},\textbf{265.24},17.31
4,46.5,157.04,81.53,563.65,158.31,218.45,17.14
5,61.93,288.92,108.61,602.47,343.51,496.79,20.62
6,\textbf{41.02},188.46,113.6,623.42,279.65,382.15,6.38
7,24.99,253.95,85.09,643.18,253.75,325.54,23.08
8,25.81,101.62,85.21,589.19,144.23,173.51,9.09
9,45.22,145.79,79.58,589.28,174.38,226.57,10.1
10,64.98,106.49,75.17,\textbf{599.16},120.41,142.94,6.12
Średnia,42.43,171.32,88.86,597.02,196.58,264.37,14.23
Odch. std,15.39,60.35,12.75,27.15,72.03,108.76,5.93
