Seria,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,\textbf{8.31},40.54,10.56,999.91,41.41,33.77,12.07
2,14.32,\textbf{42.94},\textbf{13.92},1004.38,\textbf{48.61},38.49,\textbf{17.24}
3,5.03,31.2,7.81,981.81,32.06,28.29,6.78
4,6.87,53.33,22.46,983.8,54.53,39.63,20.34
5,7.64,58.12,23.15,1011.53,63.8,51.4,24.14
6,10.43,38.47,9.44,\textbf{988.32},39.26,35.63,20.69
7,6.87,60.51,21.78,981.11,70.47,41.01,28.81
8,9.81,36.23,8.8,1009.65,37.52,\textbf{35.91},17.24
9,10.38,36.55,10.01,983.15,37.38,31.98,13.56
10,1.08,37.24,11.19,975.32,39.08,34.66,11.86
Średnia,8.07,43.51,13.91,991.9,46.41,37.08,17.27
Odch. std,3.56,10.14,6.12,13.2,12.69,6.26,6.51
