Seria,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,\textbf{20.62},232.04,101.57,584.69,258.95,366.04,\textbf{18.18}
2,30.87,198.06,63.83,609.74,196.07,275.75,28.12
3,4.58,183.55,88.65,562.29,\textbf{184.8},280.87,26.67
4,27.88,152.21,89.52,530.03,152.18,220.96,14.41
5,15.54,130.64,65.32,552.24,128.52,188.84,13.08
6,7.57,185.65,83.38,\textbf{578.61},190.44,249.22,21.57
7,7.29,134.94,80.37,544.67,142.56,201.81,10.19
8,30.41,\textbf{175.99},80.52,589.83,189.43,262.51,23.23
9,40.58,207.95,83.11,636.99,206.39,297.38,14.29
10,45.06,158.52,\textbf{82.62},609.9,178.64,\textbf{257.74},14.74
Średnia,23.04,175.96,81.89,579.9,182.8,260.11,18.45
Odch. std,14.23,32.34,11.06,33.29,36.75,51.02,6.13
