Series,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,35.66,39.02,55.42,538.65,\textbf{68.52},\textbf{19.12},4.59
2,80.58,70.64,56.49,582.04,87.32,18.37,2.97
3,29.84,34.23,186.02,507.25,60.94,41.09,2.59
4,\textbf{48.59},\textbf{42.78},47.42,519.51,48.68,10.48,0.88
5,16.17,35.82,\textbf{61.11},522.51,62.58,19.91,3.57
6,62.17,47.02,50.33,592.24,76.53,15.98,\textbf{2.02}
7,24.27,43.49,175.7,544.73,76.8,40.03,3.67
8,51.25,38.85,37.29,\textbf{550.65},60.13,8.85,0.0
9,18.41,25.26,36.11,551.7,45.41,11.47,0.0
10,63.75,35.43,34.78,581.53,70.37,7.81,0.0
Average,43.07,41.25,74.07,549.08,65.73,19.31,2.03
Std Dev,21.63,11.94,57.06,28.81,12.92,12.01,1.72
