Series,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,48.8,127.84,\textbf{89.65},564.31,143.2,188.41,12.5
2,70.74,\textbf{120.34},83.97,605.81,\textbf{137.98},\textbf{161.33},11.34
3,13.57,207.54,102.95,565.19,204.67,274.03,14.42
4,28.89,80.08,78.75,528.74,83.0,97.76,4.46
5,33.52,211.97,102.13,\textbf{574.05},235.99,329.64,13.86
6,49.04,90.01,157.17,592.05,104.55,105.17,\textbf{8.0}
7,31.26,152.08,148.25,580.12,159.95,220.22,12.87
8,\textbf{43.07},62.92,64.91,566.53,92.38,117.65,5.83
9,13.17,96.42,61.14,566.61,95.86,129.14,5.83
10,59.75,51.57,60.0,587.29,81.71,71.34,2.0
Average,39.18,120.08,94.89,573.07,133.93,169.47,9.11
Std Dev,18.73,55.98,34.17,20.75,53.29,83.54,4.43
