Series,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,\textbf{12.11},48.0,10.49,999.93,41.44,33.84,12.07
2,22.79,33.91,\textbf{13.81},1004.41,\textbf{48.63},38.69,15.52
3,7.33,31.06,7.75,981.8,32.0,28.32,6.78
4,33.08,65.57,22.37,983.8,54.41,39.43,\textbf{18.64}
5,4.61,51.76,23.04,1011.53,63.63,51.22,25.86
6,1.93,\textbf{39.11},9.25,\textbf{988.34},39.35,35.79,20.69
7,4.25,52.68,21.79,981.13,70.42,40.84,25.42
8,9.18,36.69,8.68,1009.63,37.61,\textbf{36.38},18.97
9,4.44,34.01,10.07,983.2,37.46,32.18,15.25
10,9.42,31.89,11.08,975.33,38.89,34.35,11.86
Average,10.91,42.47,13.83,991.91,46.38,37.1,17.11
Std Dev,9.77,11.48,6.13,13.2,12.64,6.17,6.05
