Series,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,10.54,39.25,19.33,827.06,48.15,36.66,15.49
2,3.63,32.47,16.07,846.23,43.71,27.85,8.7
3,57.69,44.83,23.47,850.26,71.23,32.89,\textbf{10.29}
4,0.97,\textbf{43.45},14.15,913.23,42.95,35.89,20.31
5,11.32,49.16,23.97,\textbf{858.96},58.88,32.21,8.82
6,31.15,51.54,25.23,852.87,59.25,\textbf{30.53},10.29
7,22.75,40.47,24.02,901.15,\textbf{56.29},32.0,7.69
8,\textbf{16.27},35.21,15.76,887.28,41.12,25.9,9.09
9,10.03,34.95,\textbf{21.19},838.4,45.15,28.46,5.8
10,26.51,57.66,28.17,821.17,60.96,26.3,1.41
Average,19.09,42.9,21.14,859.66,52.77,30.87,9.79
Std Dev,16.65,8.07,4.65,31.03,9.96,3.75,5.13
