Seria,Aktywność,Algorytm,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,Mieszane,Pan-Tompkins,35.66,39.02,55.42,538.65,68.52,19.12,4.59
2,Mieszane,Pan-Tompkins,80.58,70.64,56.49,582.04,87.32,18.37,2.97
3,Mieszane,Pan-Tompkins,29.84,34.23,186.02,507.25,60.94,41.09,2.59
4,Mieszane,Pan-Tompkins,48.59,42.78,47.42,519.51,48.68,10.48,0.88
5,Mieszane,Pan-Tompkins,16.17,35.82,61.11,522.51,62.58,19.91,3.57
6,Mieszane,Pan-Tompkins,62.17,47.02,50.33,592.24,76.53,15.98,2.02
7,Mieszane,Pan-Tompkins,24.27,43.49,175.70,544.73,76.8,40.03,3.67
8,Mieszane,Pan-Tompkins,51.25,38.85,37.29,550.65,60.13,8.85,0.0
9,Mieszane,Pan-Tompkins,18.41,25.26,36.11,551.7,45.41,11.47,0.0
10,Mieszane,Pan-Tompkins,63.75,35.43,34.78,581.53,70.37,7.81,0.0
1,Mieszane,U-Net,48.80,127.84,89.65,564.31,143.2,188.41,12.5
2,Mieszane,U-Net,70.74,120.34,83.97,605.81,137.98,161.33,11.34
3,Mieszane,U-Net,13.57,207.54,102.95,565.19,204.67,274.03,14.42
4,Mieszane,U-Net,28.89,80.08,78.75,528.74,83.0,97.76,4.46
5,Mieszane,U-Net,33.52,211.97,102.13,574.05,235.99,329.64,13.86
6,Mieszane,U-Net,49.04,90.01,157.17,592.05,104.55,105.17,8.0
7,Mieszane,U-Net,31.26,152.08,148.25,580.12,159.95,220.22,12.87
8,Mieszane,U-Net,43.07,62.92,64.91,566.53,92.38,117.65,5.83
9,Mieszane,U-Net,13.17,96.42,61.14,566.61,95.86,129.14,5.83
10,Mieszane,U-Net,59.75,51.57,60.00,587.29,81.71,71.34,2.0
1,Mieszane,CNN,32.30,133.01,79.46,569.74,135.88,178.62,16.5
2,Mieszane,CNN,57.05,154.24,87.60,624.94,172.58,233.86,15.96
3,Mieszane,CNN,24.53,183.63,92.78,565.19,183.07,265.24,17.31
4,Mieszane,CNN,46.50,157.04,81.53,563.65,158.31,218.45,17.14
5,Mieszane,CNN,61.93,288.92,108.61,602.47,343.51,496.79,20.62
6,Mieszane,CNN,41.02,188.46,113.60,623.42,279.65,382.15,6.38
7,Mieszane,CNN,24.99,253.95,85.09,643.18,253.75,325.54,23.08
8,Mieszane,CNN,25.81,101.62,85.21,589.19,144.23,173.51,9.09
9,Mieszane,CNN,45.22,145.79,79.58,589.28,174.38,226.57,10.1
10,Mieszane,CNN,64.98,106.49,75.17,599.16,120.41,142.94,6.12
