Seria,Aktywność,Algorytm,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
1,Spoczynek,Pan-Tompkins,10.54,39.25,19.33,827.06,48.15,36.66,15.49
2,Spoczynek,Pan-Tompkins,3.63,32.47,16.07,846.23,43.71,27.85,8.7
3,Spoczynek,Pan-Tompkins,57.69,44.83,23.47,850.26,71.23,32.89,10.29
4,Spoczynek,Pan-Tompkins,0.97,43.45,14.15,913.23,42.95,35.89,20.31
5,Spoczynek,Pan-Tompkins,11.32,49.16,23.97,858.96,58.88,32.21,8.82
6,Spoczynek,Pan-Tompkins,31.15,51.54,25.23,852.87,59.25,30.53,10.29
7,Spoczynek,Pan-Tompkins,22.75,40.47,24.02,901.15,56.29,32.0,7.69
8,Spoczynek,Pan-Tompkins,16.27,35.21,15.76,887.28,41.12,25.9,9.09
9,Spoczynek,Pan-Tompkins,10.03,34.95,21.19,838.4,45.15,28.46,5.8
10,Spoczynek,Pan-Tompkins,26.51,57.66,28.17,821.17,60.96,26.3,1.41
1,Spacer,Pan-Tompkins,0.51,9.49,14.94,512.9,10.98,10.81,0.0
2,Spacer,Pan-Tompkins,1.25,7.84,12.66,518.71,10.93,12.81,0.0
3,Spacer,Pan-Tompkins,11.00,9.25,15.67,492.56,15.12,8.88,0.0
4,Spacer,Pan-Tompkins,11.03,12.02,16.80,490.61,16.69,10.68,0.0
5,Spacer,Pan-Tompkins,7.96,9.37,12.46,518.71,13.04,14.23,0.0
6,Spacer,Pan-Tompkins,2.14,10.99,9.46,505.05,10.25,12.71,0.0
7,Spacer,Pan-Tompkins,0.19,7.77,10.01,511.83,8.76,14.28,0.0
8,Spacer,Pan-Tompkins,3.90,8.43,11.84,517.46,10.84,10.24,0.0
9,Spacer,Pan-Tompkins,25.78,37.58,29.35,580.24,43.28,10.55,0.0
10,Spacer,Pan-Tompkins,11.24,25.83,26.09,562.49,37.94,11.02,0.0
1,Sen,Pan-Tompkins,12.11,48.00,10.49,999.93,41.44,33.84,12.07
2,Sen,Pan-Tompkins,22.79,33.91,13.81,1004.41,48.63,38.69,15.52
3,Sen,Pan-Tompkins,7.33,31.06,7.75,981.8,32.0,28.32,6.78
4,Sen,Pan-Tompkins,33.08,65.57,22.37,983.8,54.41,39.43,18.64
5,Sen,Pan-Tompkins,4.61,51.76,23.04,1011.53,63.63,51.22,25.86
6,Sen,Pan-Tompkins,1.93,39.11,9.25,988.34,39.35,35.79,20.69
7,Sen,Pan-Tompkins,4.25,52.68,21.79,981.13,70.42,40.84,25.42
8,Sen,Pan-Tompkins,9.18,36.69,8.68,1009.63,37.61,36.38,18.97
9,Sen,Pan-Tompkins,4.44,34.01,10.07,983.2,37.46,32.18,15.25
10,Sen,Pan-Tompkins,9.42,31.89,11.08,975.33,38.89,34.35,11.86
1,Spoczynek,U-Net,31.29,122.80,50.25,851.41,159.23,213.43,19.12
2,Spoczynek,U-Net,6.55,178.25,47.85,884.16,183.31,261.4,13.64
3,Spoczynek,U-Net,21.54,109.91,48.28,862.75,115.1,137.14,13.43
4,Spoczynek,U-Net,9.48,40.18,12.53,915.1,40.56,35.36,19.05
5,Spoczynek,U-Net,12.75,89.29,45.72,871.65,92.28,131.19,13.43
6,Spoczynek,U-Net,18.67,99.68,54.35,862.36,109.2,144.26,11.76
7,Spoczynek,U-Net,4.22,50.43,24.03,902.95,54.84,32.25,6.25
8,Spoczynek,U-Net,14.01,101.97,41.56,900.72,113.45,154.64,10.77
9,Spoczynek,U-Net,43.35,154.20,59.46,877.15,217.51,312.18,12.31
10,Spoczynek,U-Net,34.25,47.95,28.37,821.18,61.07,26.68,1.41
1,Spacer,U-Net,3.81,43.49,66.07,517.42,49.54,68.9,1.77
2,Spacer,U-Net,5.60,6.83,10.47,518.81,9.01,4.42,0.0
3,Spacer,U-Net,5.28,78.93,70.66,505.11,77.72,111.42,5.13
4,Spacer,U-Net,17.08,44.04,71.10,494.7,50.36,66.71,1.68
5,Spacer,U-Net,6.90,8.93,10.91,518.62,11.25,5.31,0.0
6,Spacer,U-Net,0.28,34.73,64.63,509.38,47.07,66.72,1.72
7,Spacer,U-Net,6.83,40.92,61.94,516.26,48.72,68.95,1.75
8,Spacer,U-Net,0.15,9.09,10.81,517.39,9.53,4.27,0.0
9,Spacer,U-Net,28.00,33.93,28.50,580.23,43.33,10.39,0.0
10,Spacer,U-Net,25.95,23.78,26.12,562.58,37.62,7.1,0.0
1,Sen,U-Net,8.31,40.54,10.56,999.91,41.41,33.77,12.07
2,Sen,U-Net,14.32,42.94,13.92,1004.38,48.61,38.49,17.24
3,Sen,U-Net,5.03,31.20,7.81,981.81,32.06,28.29,6.78
4,Sen,U-Net,6.87,53.33,22.46,983.8,54.53,39.63,20.34
5,Sen,U-Net,7.64,58.12,23.15,1011.53,63.8,51.4,24.14
6,Sen,U-Net,10.43,38.47,9.44,988.32,39.26,35.63,20.69
7,Sen,U-Net,3.80,65.79,21.78,978.73,72.27,44.02,30.0
8,Sen,U-Net,9.81,36.23,8.80,1009.65,37.52,35.91,17.24
9,Sen,U-Net,10.38,36.55,10.01,983.15,37.38,31.98,13.56
10,Sen,U-Net,1.08,37.24,11.19,975.32,39.08,34.66,11.86
1,Spoczynek,CNN,4.17,99.99,46.68,839.25,102.69,140.89,18.84
2,Spoczynek,CNN,22.20,115.67,44.70,871.16,147.79,205.7,13.43
3,Spoczynek,CNN,35.98,62.35,23.47,850.24,71.24,32.97,10.29
4,Spoczynek,CNN,9.48,40.18,12.53,915.1,40.56,35.36,19.05
